address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
400 Block of MASON ST,ASSAULT,2016-10-01T00:00:00.000,Saturday,BATTERY,160826603,"{u'type': u'Point', u'coordinates': [-122.409925328, 37.787764099]}",CENTRAL,16082660304134,NONE,11:00,-122.40992532841902,37.787764099009586
0 Block of DRUMM ST,NON-CRIMINAL,2016-08-16T00:00:00.000,Tuesday,LOST PROPERTY,160665401,"{u'type': u'Point', u'coordinates': [-122.396421944, 37.7941447424]}",CENTRAL,16066540171000,NONE,06:00,-122.39642194376758,37.79414474237039
LARKIN ST / SUTTER ST,ASSAULT,2016-11-03T00:00:00.000,Thursday,BATTERY,160894456,"{u'type': u'Point', u'coordinates': [-122.418467748, 37.787965257]}",CENTRAL,16089445604134,NONE,02:05,-122.41846774793113,37.78796525697966
800 Block of POST ST,NON-CRIMINAL,2016-12-11T00:00:00.000,Sunday,FOUND PROPERTY,161005860,"{u'type': u'Point', u'coordinates': [-122.415843757, 37.7874017656]}",CENTRAL,16100586072000,NONE,18:45,-122.41584375719034,37.7874017655636
2800 Block of TAYLOR ST,NON-CRIMINAL,2016-12-27T00:00:00.000,Tuesday,LOST PROPERTY,161051233,"{u'type': u'Point', u'coordinates': [-122.415923448, 37.8085905137]}",CENTRAL,16105123371000,NONE,15:00,-122.41592344824247,37.80859051371021
200 Block of BAY ST,TRESPASS,2016-12-12T00:00:00.000,Monday,TRESPASSING,161008541,"{u'type': u'Point', u'coordinates': [-122.411135525, 37.8058701107]}",CENTRAL,16100854127195,"ARREST, BOOKED",15:45,-122.41113552527041,37.80587011065867
600 Block of BUSH ST,LARCENY/THEFT,2016-03-22T00:00:00.000,Tuesday,PETTY THEFT OF PROPERTY,166073135,"{u'type': u'Point', u'coordinates': [-122.408404482, 37.7902633247]}",CENTRAL,16607313506372,NONE,01:00,-122.40840448212353,37.79026332467666
1100 Block of SACRAMENTO ST,TRESPASS,2016-11-17T00:00:00.000,Thursday,TRESPASSING,160936945,"{u'type': u'Point', u'coordinates': [-122.412300829, 37.7926526453]}",CENTRAL,16093694527195,NONE,08:00,-122.41230082942111,37.79265264529803
KEARNY ST / BAY ST,LARCENY/THEFT,2016-01-21T00:00:00.000,Thursday,GRAND THEFT FROM LOCKED AUTO,166018006,"{u'type': u'Point', u'coordinates': [-122.407149305, 37.8064267317]}",CENTRAL,16601800606244,NONE,09:16,-122.40714930465734,37.80642673167898
700 Block of MONTGOMERY ST,VANDALISM,2016-04-12T00:00:00.000,Tuesday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",160303178,"{u'type': u'Point', u'coordinates': [-122.403340214, 37.7959918874]}",CENTRAL,16030317828100,NONE,20:00,-122.40334021405964,37.79599188737777
700 Block of VALLEJO ST,MISSING PERSON,2016-12-26T00:00:00.000,Monday,MISSING ADULT,161060961,"{u'type': u'Point', u'coordinates': [-122.409791662, 37.798508348]}",CENTRAL,16106096174000,NONE,16:00,-122.40979166229266,37.79850834804346
FRANCISCO ST / GRANT AV,LARCENY/THEFT,2016-08-01T00:00:00.000,Monday,PETTY THEFT OF PROPERTY,166173854,"{u'type': u'Point', u'coordinates': [-122.408525972, 37.8053002103]}",CENTRAL,16617385406372,NONE,07:45,-122.40852597181193,37.8053002102691
300 Block of BUSH ST,NON-CRIMINAL,2016-03-04T00:00:00.000,Friday,LOST PROPERTY,166066453,"{u'type': u'Point', u'coordinates': [-122.403840372, 37.7907285143]}",CENTRAL,16606645371000,NONE,21:45,-122.40384037228841,37.79072851430366
PINE ST / TAYLOR ST,VANDALISM,2016-07-10T00:00:00.000,Sunday,"MALICIOUS MISCHIEF, VANDALISM",166153981,"{u'type': u'Point', u'coordinates': [-122.412269091, 37.790672765]}",CENTRAL,16615398128150,NONE,13:52,-122.41226909105993,37.79067276498863
2800 Block of TAYLOR ST,NON-CRIMINAL,2016-10-20T00:00:00.000,Thursday,LOST PROPERTY,160860021,"{u'type': u'Point', u'coordinates': [-122.415923448, 37.8085905137]}",CENTRAL,16086002171000,NONE,11:00,-122.41592344824247,37.80859051371021
JONES ST / PINE ST,NON-CRIMINAL,2016-04-02T00:00:00.000,Saturday,LOST PROPERTY,166078624,"{u'type': u'Point', u'coordinates': [-122.413918209, 37.7904619656]}",CENTRAL,16607862471000,NONE,15:21,-122.41391820923558,37.79046196562574
BUSH ST / LARKIN ST,LARCENY/THEFT,2016-10-22T00:00:00.000,Saturday,PETTY THEFT FROM LOCKED AUTO,160862215,"{u'type': u'Point', u'coordinates': [-122.418658295, 37.7889098399]}",CENTRAL,16086221506241,NONE,21:50,-122.41865829482943,37.78890983994209
400 Block of BATTERY ST,VANDALISM,2016-05-14T00:00:00.000,Saturday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",160399321,"{u'type': u'Point', u'coordinates': [-122.400517703, 37.795654373]}",CENTRAL,16039932128100,NONE,16:00,-122.40051770256774,37.79565437295579
500 Block of TAYLOR ST,ASSAULT,2016-12-21T00:00:00.000,Wednesday,BATTERY,161036138,"{u'type': u'Point', u'coordinates': [-122.411540448, 37.7874098357]}",CENTRAL,16103613804134,NONE,16:30,-122.41154044765602,37.78740983564998
900 Block of HYDE ST,LARCENY/THEFT,2016-10-28T00:00:00.000,Friday,PETTY THEFT FROM A BUILDING,160883788,"{u'type': u'Point', u'coordinates': [-122.417044293, 37.7895952774]}",CENTRAL,16088378806303,NONE,09:15,-122.41704429261387,37.78959527743222
800 Block of SUTTER ST,NON-CRIMINAL,2016-11-26T00:00:00.000,Saturday,LOST PROPERTY,160965756,"{u'type': u'Point', u'coordinates': [-122.414390138, 37.7885452792]}",CENTRAL,16096575671000,NONE,19:00,-122.41439013757768,37.78854527920814
700 Block of VALLEJO ST,NON-CRIMINAL,2016-11-08T00:00:00.000,Tuesday,LOST PROPERTY,160909384,"{u'type': u'Point', u'coordinates': [-122.409791662, 37.798508348]}",CENTRAL,16090938471000,NONE,05:15,-122.40979166229266,37.79850834804346
GEARY ST / LEAVENWORTH ST,VANDALISM,2016-04-22T00:00:00.000,Friday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",160331276,"{u'type': u'Point', u'coordinates': [-122.414809966, 37.7865194112]}",CENTRAL,16033127628100,NONE,15:55,-122.41480996635676,37.78651941116143
GREEN ST / FRONT ST,VEHICLE THEFT,2016-12-10T00:00:00.000,Saturday,STOLEN AUTOMOBILE,161003701,"{u'type': u'Point', u'coordinates': [-122.400252663, 37.8006075196]}",CENTRAL,16100370107021,NONE,19:00,-122.40025266292255,37.8006075195541
POLK ST / BEACH ST,NON-CRIMINAL,2016-07-19T00:00:00.000,Tuesday,LOST PROPERTY,166161592,"{u'type': u'Point', u'coordinates': [-122.423848814, 37.806221427]}",CENTRAL,16616159271000,NONE,16:00,-122.42384881372992,37.80622142699113
0 Block of DRUMM ST,NON-CRIMINAL,2016-08-01T00:00:00.000,Monday,LOST PROPERTY,166174034,"{u'type': u'Point', u'coordinates': [-122.396421944, 37.7941447424]}",CENTRAL,16617403471000,NONE,22:20,-122.39642194376758,37.79414474237039
CALIFORNIA ST / KEARNY ST,LARCENY/THEFT,2016-05-02T00:00:00.000,Monday,GRAND THEFT FROM PERSON,160359535,"{u'type': u'Point', u'coordinates': [-122.404420632, 37.792640211]}",CENTRAL,16035953506153,NONE,14:55,-122.404420631879,37.792640210997
600 Block of GEARY ST,SUSPICIOUS OCC,2017-02-17T00:00:00.000,Friday,SUSPICIOUS OCCURRENCE,170144398,"{u'type': u'Point', u'coordinates': [-122.414010815, 37.7866770011]}",CENTRAL,17014439864070,NONE,19:20,-122.41401081472705,37.78667700110705
1300 Block of POWELL ST,NON-CRIMINAL,2016-06-20T00:00:00.000,Monday,LOST PROPERTY,166193200,"{u'type': u'Point', u'coordinates': [-122.410146005, 37.7971857276]}",CENTRAL,16619320071000,NONE,21:01,-122.41014600540043,37.79718572762837
800 Block of UNION ST,ASSAULT,2017-01-13T00:00:00.000,Friday,BATTERY,170035452,"{u'type': u'Point', u'coordinates': [-122.413300482, 37.7998720994]}",CENTRAL,17003545204134,NONE,23:06,-122.41330048233284,37.799872099388594
300 Block of POST ST,LARCENY/THEFT,2017-02-01T00:00:00.000,Wednesday,GRAND THEFT SHOPLIFTING,170110139,"{u'type': u'Point', u'coordinates': [-122.407612885, 37.788448602]}",CENTRAL,17011013906364,NONE,13:21,-122.40761288538702,37.78844860197047
500 Block of SUTTER ST,BURGLARY,2016-06-08T00:00:00.000,Wednesday,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",160469366,"{u'type': u'Point', u'coordinates': [-122.409423605, 37.7890647343]}",CENTRAL,16046936605151,NONE,17:30,-122.4094236046748,37.78906473428479
200 Block of CLAY ST,NON-CRIMINAL,2016-04-18T00:00:00.000,Monday,LOST PROPERTY,160320542,"{u'type': u'Point', u'coordinates': [-122.398562389, 37.7951824972]}",CENTRAL,16032054271000,NONE,14:30,-122.39856238857298,37.795182497227344
1600 Block of THE EMBARCADERONORTH ST,SUSPICIOUS OCC,2016-03-29T00:00:00.000,Tuesday,SUSPICIOUS OCCURRENCE,160260465,"{u'type': u'Point', u'coordinates': [-122.410774214, 37.8084350176]}",CENTRAL,16026046564070,NONE,13:10,-122.4107742143754,37.80843501758691
800 Block of BEACH ST,LARCENY/THEFT,2017-01-02T00:00:00.000,Monday,PETTY THEFT FROM LOCKED AUTO,170004786,"{u'type': u'Point', u'coordinates': [-122.423047461, 37.8063812777]}",CENTRAL,17000478606243,NONE,16:40,-122.42304746118934,37.80638127770788
HYDE ST / SUTTER ST,VEHICLE THEFT,2017-03-02T00:00:00.000,Thursday,STOLEN MOTORCYCLE,170177082,"{u'type': u'Point', u'coordinates': [-122.416829148, 37.7881786971]}",CENTRAL,17017708207023,NONE,17:00,-122.41682914850004,37.78817869707501
100 Block of GEARY ST,VANDALISM,2017-01-16T00:00:00.000,Monday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",170042980,"{u'type': u'Point', u'coordinates': [-122.405819515, 37.7876106366]}",CENTRAL,17004298028100,NONE,03:10,-122.40581951516872,37.78761063658544
