address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
1400 Block of 7TH AV,MISSING PERSON,2015-07-31T00:00:00.000,Friday,MISSING ADULT,150667780,"{u'type': u'Point', u'coordinates': [-122.464044778, 37.7613161837]}",PARK,15066778074000,NONE,06:30,-122.464044777804,37.7613161836641
0 Block of SHRADER ST,MISSING PERSON,2015-09-02T00:00:00.000,Wednesday,FOUND PERSON,150772652,"{u'type': u'Point', u'coordinates': [-122.452839772, 37.7745145381]}",PARK,15077265275000,NONE,22:00,-122.452839772389,37.7745145380854
1000 Block of HAIGHT ST,NON-CRIMINAL,2015-08-14T00:00:00.000,Friday,CASE CLOSURE,150721518,"{u'type': u'Point', u'coordinates': [-122.439560143, 37.7710042009]}",PARK,15072151875030,NONE,12:00,-122.439560143337,37.7710042009346
600 Block of HAIGHT ST,ASSAULT,2015-06-02T00:00:00.000,Tuesday,BATTERY,150480225,"{u'type': u'Point', u'coordinates': [-122.432940245, 37.7718450016]}",PARK,15048022504134,NONE,03:35,-122.43294024481,37.7718450016424
500 Block of PARNASSUS AV,TRESPASS,2015-08-01T00:00:00.000,Saturday,TRESPASSING,150670307,"{u'type': u'Point', u'coordinates': [-122.458267329, 37.7634158565]}",PARK,15067030727195,"ARREST, BOOKED",21:45,-122.458267329165,37.7634158564883
800 Block of CENTRAL AV,MISSING PERSON,2011-11-29T00:00:00.000,Tuesday,FOUND PERSON,110959925,"{u'type': u'Point', u'coordinates': [-122.444994682, 37.7774397592]}",PARK,11095992575000,NONE,07:00,-122.444994681535,37.7774397591652
0 Block of ASHBURY TR,NON-CRIMINAL,2015-04-02T00:00:00.000,Thursday,COURTESY REPORT,150763811,"{u'type': u'Point', u'coordinates': [-122.447904554, 37.7751421104]}",PARK,15076381168030,UNFOUNDED,08:00,-122.447904554135,37.7751421104171
100 Block of BELVEDERE ST,RUNAWAY,2011-10-28T00:00:00.000,Friday,RUNAWAY,110871595,"{u'type': u'Point', u'coordinates': [-122.449328648, 37.7677738875]}",PARK,11087159529100,NONE,23:15,-122.449328648219,37.7677738874748
17TH ST / DIAMOND ST,LARCENY/THEFT,2015-07-25T00:00:00.000,Saturday,GRAND THEFT FROM LOCKED AUTO,150647356,"{u'type': u'Point', u'coordinates': [-122.437345501, 37.7623546422]}",PARK,15064735606244,NONE,13:45,-122.437345501211,37.7623546421533
IRVING ST / 6TH AV,NON-CRIMINAL,2015-06-27T00:00:00.000,Saturday,FOUND PROPERTY,150576448,"{u'type': u'Point', u'coordinates': [-122.463102336, 37.7641782124]}",PARK,15057644872000,NONE,17:00,-122.46310233563,37.7641782123517
1600 Block of TURK ST,NON-CRIMINAL,2015-09-16T00:00:00.000,Wednesday,AIDED CASE,150812565,"{u'type': u'Point', u'coordinates': [-122.436274979, 37.7800247331]}",PARK,15081256551040,UNFOUNDED,08:00,-122.436274979481,37.7800247331065
100 Block of BELVEDERE ST,MISSING PERSON,2015-06-12T00:00:00.000,Friday,FOUND PERSON,150515167,"{u'type': u'Point', u'coordinates': [-122.449328648, 37.7677738875]}",PARK,15051516775000,NONE,23:30,-122.449328648219,37.7677738874748
FELL ST / LYON ST,MISSING PERSON,2015-06-24T00:00:00.000,Wednesday,FOUND PERSON,150551149,"{u'type': u'Point', u'coordinates': [-122.442565617, 37.7734240198]}",PARK,15055114975000,NONE,15:30,-122.442565616713,37.773424019842
MASONIC AV / FELL ST,WARRANTS,2015-06-25T00:00:00.000,Thursday,WARRANT ARREST,150553195,"{u'type': u'Point', u'coordinates': [-122.445904271, 37.7729953727]}",PARK,15055319563010,"ARREST, BOOKED",12:18,-122.445904271169,37.7729953727174
600 Block of HAIGHT ST,ASSAULT,2015-11-01T00:00:00.000,Sunday,BATTERY,150955660,"{u'type': u'Point', u'coordinates': [-122.432940245, 37.7718450016]}",PARK,15095566004134,NONE,20:30,-122.43294024481,37.7718450016424
PAGE ST / BAKER ST,LARCENY/THEFT,2015-02-03T00:00:00.000,Tuesday,GRAND THEFT FROM LOCKED AUTO,156026865,"{u'type': u'Point', u'coordinates': [-122.44054662, 37.771778899]}",PARK,15602686506244,NONE,19:01,-122.440546619508,37.7717788990149
200 Block of ASHBURY ST,MISSING PERSON,2015-11-20T00:00:00.000,Friday,FOUND PERSON,151015506,"{u'type': u'Point', u'coordinates': [-122.447522449, 37.7732612851]}",PARK,15101550675000,NONE,19:00,-122.447522449337,37.7732612851045
2600 Block of GEARY BL,NON-CRIMINAL,2015-12-22T00:00:00.000,Tuesday,FOUND PROPERTY,151103399,"{u'type': u'Point', u'coordinates': [-122.446612979, 37.7822458224]}",PARK,15110339972000,NONE,16:30,-122.446612978839,37.7822458223917
2600 Block of GEARY BL,NON-CRIMINAL,2015-10-25T00:00:00.000,Sunday,AIDED CASE,150934197,"{u'type': u'Point', u'coordinates': [-122.446612979, 37.7822458224]}",PARK,15093419751040,"ARREST, BOOKED",19:21,-122.446612978839,37.7822458223917
DIVISADERO ST / FELL ST,ASSAULT,2015-10-10T00:00:00.000,Saturday,BATTERY,150902859,"{u'type': u'Point', u'coordinates': [-122.437612766, 37.774060412]}",PARK,15090285904134,NONE,15:00,-122.437612766191,37.7740604119579
200 Block of NOE ST,TRESPASS,2015-10-20T00:00:00.000,Tuesday,TRESPASSING,150916656,"{u'type': u'Point', u'coordinates': [-122.433148065, 37.7654653107]}",PARK,15091665627195,"ARREST, BOOKED",10:40,-122.43314806477,37.7654653107492
400 Block of STANYAN ST,ASSAULT,2015-09-30T00:00:00.000,Wednesday,BATTERY,150858105,"{u'type': u'Point', u'coordinates': [-122.454403067, 37.7738178295]}",PARK,15085810504134,NONE,18:50,-122.454403066889,37.7738178294781
400 Block of PARNASSUS AV,ASSAULT,2015-09-19T00:00:00.000,Saturday,BATTERY,150821613,"{u'type': u'Point', u'coordinates': [-122.458220812, 37.7633123961]}",PARK,15082161304134,"ARREST, BOOKED",03:00,-122.458220811697,37.7633123961354
1000 Block of OAK ST,VEHICLE THEFT,2015-11-28T00:00:00.000,Saturday,STOLEN TRUCK,151036182,"{u'type': u'Point', u'coordinates': [-122.436614181, 37.7732918069]}",PARK,15103618207025,NONE,22:00,-122.436614181331,37.773291806903
0 Block of SCOTT ST,ASSAULT,2016-09-01T00:00:00.000,Thursday,BATTERY,160710084,"{u'type': u'Point', u'coordinates': [-122.434906577, 37.7695253622]}",PARK,16071008404134,NONE,18:25,-122.43490657683627,37.76952536223194
1100 Block of FELL ST,RUNAWAY,2016-06-30T00:00:00.000,Thursday,RUNAWAY,160531755,"{u'type': u'Point', u'coordinates': [-122.436780418, 37.7741128837]}",PARK,16053175529100,NONE,08:00,-122.43678041833905,37.77411288366997
300 Block of LAGUNAHONDA BL,MISSING PERSON,2015-10-31T00:00:00.000,Saturday,MISSING ADULT,150952086,"{u'type': u'Point', u'coordinates': [-122.45868019, 37.7481554692]}",PARK,15095208674000,NONE,17:00,-122.458680189782,37.7481554692332
500 Block of PARNASSUS AV,ASSAULT,2015-10-14T00:00:00.000,Wednesday,BATTERY,150898703,"{u'type': u'Point', u'coordinates': [-122.458220812, 37.7633123961]}",PARK,15089870304134,"ARREST, BOOKED",08:06,-122.458220811697,37.7633123961354
600 Block of DIVISADERO ST,NON-CRIMINAL,2014-12-31T00:00:00.000,Wednesday,LOST PROPERTY,156000853,"{u'type': u'Point', u'coordinates': [-122.437780561, 37.7754834564]}",PARK,15600085371000,NONE,23:00,-122.437780560713,37.7754834563836
100 Block of BELVEDERE ST,MISSING PERSON,2015-10-23T00:00:00.000,Friday,FOUND PERSON,150928429,"{u'type': u'Point', u'coordinates': [-122.449328648, 37.7677738875]}",PARK,15092842975000,NONE,21:31,-122.449328648219,37.7677738874748
SCOTT ST / TURK ST,LARCENY/THEFT,2015-12-15T00:00:00.000,Tuesday,GRAND THEFT FROM LOCKED AUTO,156303196,"{u'type': u'Point', u'coordinates': [-122.437075561, 37.7798680004]}",PARK,15630319606244,NONE,10:00,-122.437075560735,37.7798680003913
